X Y Timeouts Errors TotalTimeMean TotalTimeMedian ROCACexMean ROCACexMedian DFACexMean DFACexMedian LearningROCAMean LearningROCAMedian TableMean TableMedian DescriptionsMean DescriptionsMedian MQMean MQMedian CVQMean CVQMedian PEQMean PEQMedian EQMean EQMedian RoundsMean RoundsMedian OpennessMean OpennessMedian SigmaMean SigmaMedian BotMean BotMedian MismatchesMean MismatchesMedian LengthCexMean LengthCexMedian RMean RMedian SMean SMedian HatSMean HatSMedian BinMean BinMedian TargetMean TargetMedian
1.0 1.0 0.0 0.0 0.00077 0.0 0.00033 0.0 6e-05 0.0 0.00062 0.0 0.0 0.0 1e-05 0.0 1.49 0.0 1.03 0.0 0.59 0.0 1.7 1.0 1.59 1.0 0.31 0.0 0.0 0.0 0.11 0.0 0.11 0.0 0.22 0.0 0.9 0.0 0.48 0.0 0.11 0.0 0.2 0.0 1.11 1.0
1.1578947368421053 1.0 -0.006450572957257126 0.0 -0.06180353934642544 0.026646054254197766 -0.07688429808196695 3.2820659555717375e-05 -0.07734294083286761 -7.939917393029839e-07 -0.062149489347220734 0.027018689521879944 -0.07809664304035366 -4.866907472579225e-07 -0.07739393407386651 1.1084397173880213e-07 104.25789545226328 4.698116453612558 4.095655189416041 -3.0580937710659404 0.6548161489809596 0.20896848271836088 1.8918986656636014 1.1819273987405503 1.6427661612795763 1.2106754517890281 0.36829919112714704 0.07077100928709118 0.021311510138213904 0.006253050360414991 0.3466296638141746 0.003262417336424351 0.30538825210729725 0.007448463786294938 0.33774791363358636 0.008930761159734646 1.2283677296051523 0.38720217897550985 0.626101395089512 0.20733845455747696 0.4882022209793616 0.010204227552787491 0.23412271629185144 -0.007898627769141136 1.210830037347832 1.0157306937743154
1.3157894736842106 1.0 -0.011911567882107857 0.0 -0.11479201703941534 0.04920436381909804 -0.14226121346863427 6.061319740844514e-05 -0.14287180826558696 -1.4644569637318146e-06 -0.11529925427257734 0.04989247584621973 -0.14421230799753554 -8.973662846256686e-07 -0.14292364237542565 2.0920426774866835e-07 191.2990189812568 8.748167673599772 6.719351363302367 -5.622825485005846 0.7179245533601523 0.4101017853446608 2.062836198454378 1.3601679699755773 1.6937353564953934 1.4132538608393197 0.4222570268849379 0.1427963472515934 0.04298701326135798 0.011546831458603371 0.5503493273048584 0.006024351581056101 0.4715288380774515 0.013754266700221219 0.4509968059162088 0.016491458188787514 1.5291299813274577 0.7634489991510061 0.7619007448990934 0.40709179490759306 0.8122603710110107 0.018843035126364226 0.2673707426539439 -0.01458554338407161 1.3085452961584612 1.0290481544992347
1.4736842105263157 1.0 -0.015393409279237942 0.0 -0.1486103767313905 0.06358718016360543 -0.18396336489032625 7.833787273713407e-05 -0.18465253031644843 -1.8907815589572463e-06 -0.14920957563335013 0.06447643986852063 -0.1863660182207751 -1.1583001211044763e-06 -0.18470490055074165 2.7494663240974983e-07 246.8865961052103 11.502086604747179 8.459129423012328 -7.200833395661613 0.7776174753784607 0.5955647331478369 2.1918514719981377 1.5310348839852703 1.7411106265577752 1.5996381865126263 0.4675321556018407 0.21733034112276967 0.06539050374985315 0.014922064709460437 0.6882490020640873 0.007785317296641495 0.5791741030241104 0.017774745862745956 0.555247679638398 0.021312034030391804 1.7746813141022866 1.1177851027451027 0.8770960161605384 0.5916749041716458 1.0280303962963935 0.024351000553210128 0.2988693940489243 -0.01884901920379485 1.4000310030915304 1.0375391518637005
1.631578947368421 1.0 -0.015906521653333134 0.0 -0.15367356207477184 0.06570675475662456 -0.1901533710773673 8.095494472073502e-05 -0.19081103500374236 -1.952351410650034e-06 -0.15426073428681944 0.06662566248428393 -0.19257679705930206 -1.1957657656955848e-06 -0.19086348424587882 2.87936810102198e-07 255.29385234235357 12.31180619184033 8.873030269899278 -7.298755756875142 0.8321871772767686 0.7575221513968271 2.257983359920689 1.6908413110498182 1.7830950123770455 1.7617313881706982 0.4997832256063233 0.29562731812988335 0.08888597598412043 0.015419471527881496 0.7274186996838987 0.008044829045926788 0.5990763920609223 0.018367238394836272 0.646001537590685 0.02202243162778071 1.9374162868650089 1.4392551319764149 0.9613851756056414 0.7535026654709329 1.0813682430369569 0.025162701665805132 0.32774398543943983 -0.019477327587314297 1.4821723848066843 1.0387904555566545
1.7894736842105263 1.0 -0.012461329509079183 0.0 -0.12039651672198011 0.05147533906706004 -0.14899385076008165 6.342467253819874e-05 -0.14947325034575906 -1.528552404480932e-06 -0.12083301109026551 0.052195224589010915 -0.15086366786234584 -9.360367274002322e-07 -0.14952516910690136 2.2804054520616386e-07 200.79401321091626 10.529259379664754 7.519094805316563 -5.423230822488323 0.8799259212959587 0.8881388653605684 2.2402707358478398 1.8359004214494097 1.8178915548635284 1.8914364251752867 0.5146688852268538 0.37894160550219746 0.11383742434458072 0.012079773328761844 0.6349484317563284 0.006302401391658222 0.5019880503015347 0.014389081417459273 0.7187593825636004 0.01725259392418743 1.9897294585509944 1.7169037290635567 1.0044661899661964 0.8849899619267518 0.9181298574341472 0.01971271629662915 0.3531198317881374 -0.015258740893633382 1.5518546679635663 1.0303888352670394
1.9473684210526314 1.0 -0.00406825735116185 0.0 -0.039194184325436324 0.016805184563816522 -0.04864742266879372 2.0707315368476078e-05 -0.048765104360788986 -4.987704261206961e-07 -0.039306686900968786 0.017040207078202894 -0.04924565397913615 -3.053865152196577e-07 -0.04881573077987369 7.512358210179896e-08 67.66030422912831 5.506379113006008 3.9553639306175414 -1.0808968463430635 0.9191259696769142 0.9795797003079983 2.1177524734053983 1.9625253854642335 1.843703294927547 1.9806562568881427 0.5078477827919002 0.46852753046897494 0.1406088432116549 0.003943691526996798 0.377928209873413 0.002057548896582056 0.2586614228595957 0.004697612051582091 0.7690222173476752 0.00563246386284518 1.9040153880956139 1.9397755362251425 0.9960370259739977 0.9785516766604 0.48417118568941175 0.006435622278162122 0.37412224805766414 -0.004981531481755551 1.6059630792218202 1.0099210606837976
2.1052631578947367 1.0 0.010942513252157494 0.0 0.10852756322697757 -0.04160264990809579 0.1309159776980984 -4.7194128298908934e-05 0.13135107464377166 1.3135238763695855e-06 0.10891334378270044 -0.04221013277329192 0.13234617684413594 8.030831646596728e-07 0.13130192882603373 -1.1600966252882759e-07 -154.38096804697807 -2.4416607580977687 -0.23053484739487892 6.632355472995893 0.9459490720816998 1.0279060706527543 1.8629975360628679 2.075965246345324 1.856885485230057 2.0268029337054565 0.473448968854326 0.5654604089515507 0.168289309914187 -0.01082681114349733 -0.08089085672467071 -0.003929750122913131 -0.16356895697950055 -0.007966395055102854 0.788104160559595 -0.018007495310824177 1.6396620341544355 2.104412276699556 0.9229889152758958 1.0286167310156746 -0.2831903022719744 -0.014713954834226831 0.3895860885987825 0.009165182867785924 1.6379591587797486 0.9735858176469525
2.263157894736842 1.0 0.03194886664625337 0.0 0.32194451383991335 -0.1134515763622155 0.38237838559670706 -0.00011885178281659215 0.38341264894433746 3.7731146905708893e-06 0.3228556385205836 -0.11517030673513241 0.3860621522451104 2.3043092612978567e-06 0.3833640258568747 -1.4583768104549935e-07 -420.5272064256874 -9.919483277745853 0.25210943130048397 17.54788731349491 0.9580706534719645 1.0457529444035174 1.5061067057326625 2.1909441033112924 1.8557861400110074 2.0465246749323467 0.4154918665001226 0.6667160664983672 0.19459754518512787 -0.03209961194751619 -0.6820519347393885 -0.007899897771679409 -0.7099986004876435 -0.012860152163523333 0.7772174725039618 -0.05894159848511136 1.2240303849013174 2.225525089105303 0.79999936539021 1.0432518759500906 -1.28821476845301 -0.03717783562362672 0.39877320741727557 0.01732942267875236 1.648269423057128 0.9234816343994185
2.4210526315789473 1.0 0.052006779990710066 0.0 0.5287538382454074 -0.17757223088975937 0.6225684320879644 -0.00017667783111479334 0.6240935638670575 6.086979508377961e-06 0.5300900884765369 -0.180321301520821 0.6281382477625475 3.7151236660936076e-06 0.6240467256529019 -6.64172950414662e-08 -654.3913755319909 -15.398973808465929 3.6381431322476043 28.028255449705387 0.9666218845799719 1.0428084975166723 1.177330305046058 2.283472099465368 1.8511849576153385 2.0476040265418276 0.3575164957737201 0.7656670418599923 0.22275501249473342 -0.052685261029408924 -1.233837038944583 -0.009691482146464148 -1.2092023475489242 -0.011715192019785717 0.7717719328154676 -0.10158838412614679 0.8324076551151054 2.2967909700575073 0.6883596904801963 1.03468074060033 -2.210596933571904 -0.055392523778548294 0.4030270407101515 0.019849470102559996 1.664019911108391 0.8759770855213839
