Total time (ms),ROCA counterexample time (ms),DFA counterexample time (ms),Learning DFA time (ms),Table time (ms),Finding descriptions (ms),Membership queries,Counter value queries,Partial equivalence queries,Equivalence queries,Rounds,Openness,Sigma-inconsistencies,Bottom-inconsistencies,Mismatches,Length longest cex,|R|,|S|,|? \ S|,"# of bin rows",Result alphabet size,Result ROCA size
Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
286260,5126,129,254421,275211,2,98800,793,10,78,11,1,52,1,0,54,224,55,0,1,9,70
2926600,15218,277,2911372,2890704,6,328401,1799,13,147,14,1,93,1,0,95,427,96,0,1,9,84
1812226,8915,302,1803297,1787073,4,210142,1433,14,132,15,1,66,1,0,68,380,69,0,1,9,63
803394,6358,118,797032,789330,1,167025,1140,12,98,13,1,66,1,0,68,302,69,0,1,9,63
Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
28951,5292,108,23659,22510,0,32047,327,5,26,6,1,39,1,0,41,95,42,0,1,9,42
318563,5633,126,310489,307673,1,110172,837,10,77,11,1,57,1,0,59,229,60,0,1,9,70
15987,3833,47,12154,11473,0,26755,294,5,26,6,1,34,1,0,36,90,37,0,1,9,42
293446,5172,122,288268,284148,1,98800,793,10,77,11,1,52,1,0,54,224,55,0,1,9,70
34570,2467,58,32102,30871,1,42146,411,7,36,8,1,39,1,0,41,125,42,0,1,9,42
Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
48096,3141,154,28629,42937,0,37433,391,8,40,9,1,34,1,0,36,126,37,0,1,9,42
108429,3678,80,104748,102582,1,71187,603,9,51,10,1,48,1,0,50,174,51,0,1,9,42
297292,4692,123,292596,288601,1,110172,837,10,77,11,1,57,1,0,59,229,60,0,1,9,70
976547,7542,231,968989,959131,2,173663,1218,11,108,12,1,66,1,0,68,314,69,0,1,9,63
60412,3374,73,57036,55712,0,61378,525,8,42,9,1,48,1,0,50,150,51,0,1,9,42
48881,3362,67,45516,44506,1,37433,391,8,39,9,1,34,1,0,36,126,37,0,1,9,42
24380,3706,144,20672,19852,1,28534,307,6,28,7,1,34,1,0,36,96,37,0,1,9,42
16592,2134,44,14457,13891,0,34066,340,6,29,7,1,39,1,0,41,101,42,0,1,9,42
65485,2827,67,62656,60940,2,61378,525,8,42,9,1,48,1,0,50,150,51,0,1,9,42
356370,5655,96,350708,345387,3,130546,925,9,74,10,1,66,1,0,68,236,69,0,1,9,63
Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
737878,7454,152,727701,722902,28,163710,1127,11,97,12,1,66,1,0,68,296,69,0,1,9,63
